,method,status
0,PROPFIND,301
1,PROPFIND,301
2,PROPFIND,301
3,\x13BitTorrent,400
4,\x16\x03\x01\x00\x96\x01\x00\x00\x92\x03\x03\xCB\x077\xE6\x83Nq>\xB5\xED\x9E\x87\xB7\x08\xD7\xEAF,400
5,\x17\x10\x05\x15JL\xAD\xDC\xCEL\xC1Ff>F,400
6,j\x00\xA7\x00\xF3\x00H\x00z\x00\xF3\x00\xFE\x00\xFB\x00\x8E\x00\xFE\x00H\x00\x8E\x00H\x00\xF3\x00\xA7\x00\xD9\x00\xA7\x00\xF3\x00\xB0\x00H\x00\x8B\x00\xF3\x00\xC5\x00\xC5\x00\xFC\x00\x8E\x00\xFB\x00\xFC\x00\xEC\x00\x8B\x00\xF3\x00\xD9\x00\xA7\x00\xFB\x00\xFC\x00\xEC\x00\x8E\x00\xF3\x00\xFB\x00\xA7\x00\xC5\x00\xF3\x00\xEC\x00\x09\x00\x17\x00\xD9\x00\xFB\x00z\x00\xD9\x00\xC5\x00\xC5\x00z\x00\x17\x00\xA7\x00\x17\x00\x8B\x00\xF3\x00\x17\x00\xA7\x00j\x00j\x00\xC5\x00\x8E\x00\x09\x00\x09\x00\x09\x00\x17\x00\xFB\x00\x8B\x00z\x00H\x00\xFB\x00\x8E\x00\xA7\x00\x09\x00\x8B\x00\x8E\x00z\x00z\x00\xB0\x00\x17\x00\x8E\x00\xC5\x00j\x00\xEC\x00\xFB\x00\xEC\x00\xC5\x00\x8E\x00\xB0\x00\xC5\x00\x17\x00\x17\x00H\x00\xFB\x00\xB0\x00\xA7\x00\xA7\x00\xFB\x00\xB0\x00\x8E\x00\xC5\x00\xB0\x00H\x00\x17\x00\xC5\x00\x8B\x00j\x00\x8E\x00\xEC\x00\xF3\x00\xFE\x00\xD9\x00\xF3\x00\xA7\x00j\x00\xEC\x00\xA7\x00\xB0\x00\x17\x00\xFC\x00H\x00H\x00\x09\x00\x09\x00\x09\x00H\x00\x8E\x00\xCE\x00,400
7,\x00\x85\x07,400
8,\x05bE\x00\x05b\x00\x00@\x00;\x11\x0F\xAC\xD8:\xC2\xD6,400
9,E\x00\x00I\xCD{\x00\x00@\x11\xF5Q,400
10,\x05\x01\x00,400
11,\x04\x01\x00P\x05\xBC\xD2\x0C\x00,400
12,Gh0st\xAD\x00\x00\x00\xE0\x00\x00\x00x\x9CKS``\x98\xC3\xC0\xC0\xC0\x06\xC4\x8C@\xBCQ\x96\x81\x81\x09H\x07\xA7\x16\x95e&\xA7*\x04$&g+\x182\x94\xF6\xB000\xAC\xA8rc\x00\x01\x11\xA0\x82\x1F\x5C`&\x83\xC7K7\x86\x19\xE5n\x0C9\x95n\x0C;\x84\x0F3\xAC\xE8sch\xA8^\xCF4'J\x97\xA9\x82\xE30\xC3\x91h]&\x90\xF8\xCE\x97S\xCBA4L?2=\xE1\xC4\x92\x86\x0B@\xF5`\x0CT\x1F\xAE\xAF],400
13,"E\x00\x00J\x11,@\x00@\x11\x7F\xA1",400
14,G,400
15,G,400
16,G,400
17,G,400
18,"&\xBEi\x86p\xBAOt}U\x95\xB3\x5C\x1F\x02\x1D\x84\xD7\xAA{3]\x1B\x9BK\xE2\xEF\xF79\xBB\xFD\x05g\xFB\x1B\xE5\xFD1\xCEJ\xFB\xD0\xBE\xF8/\xBD_y\xE0WX\xF7,]\xDC\xBD\xFE\xE5\xD5\x7Fr\xA5\x9B\xFB\x97H[v\x7F\xF3\xE2\xEELa\xCA:\x10\xEE\xC5^K\xE0\xBF\x09\xE0Uy\x1F\x81[\x5C\x8C\xF8\xA3<\x90\xF8\xAB\x1F\xD8\xDF$\xE0p\x96\xFF\x00\xDC\x11\xE4v3\xD2\x98\xA8",400
19,E\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x039\xDCt\xBD\xC3\x84\x0B\xE6\x12\xF4\xE2\xE3\x8DU\x1D[\xE0\xCCT\xAF\xFF\xE5\xE1\xF6\x9C\xD4\x87\xD3\x9E\xFA\xAA\x16,400
20,\x00\x84\x00\x01\x01\x01\x01\x01\x04\xD2\x00\xA7\x12\xC2\x10\xC8D*\xA3\x17\xE2\xD9,400
21,\x05bE\x00\x05b\x00\x00@\x00:\x11\x8E\x18\xAD\xC2\xA6\xAA,400
22,\x00\x00\x00\x03\x16edge-stun.facebook.com,400
23,\x05bE\x00\x05b\x00\x00@\x00:\x11\xDC\xCBJ}\xA6\x8A,400
24,w\x12\xC4\xD1\x83\x07\x84\x14dJ4\x8D\xDBym\xADY\xD3\x85\x13\xB1tx\xFD\xC4\x0F=\xBD'xA\x91b\x8A\xAB\x12\xC1lta\x7Ft%\xB9\xC8\xDF\xCA\xA7\xEE\x80\xFE\x0Cc\x0F\x8Ey!\x9F\x09\xC9\x1A\x92\xD1\xDF\xDC\xE8>\x16wf'\xA6,400
25,\x03\x00\x00/*\xE0\x00\x00\x00\x00\x00Cookie:,400
26,nKB*=w\xF4\x0C\xB5\x189\x9D\xB0<K\x9B\xBA\x82\x0EP\xFDp\x060?\xCA\x93\xA2\xDF\xA7D\x06\xED\x1C\x9Eb\xC7G\xCBYq\x10\x02\xAC\x1C\xEE\xDA1Ot\xA5\xF0b$\x05\xE1\xFA\xB7\xA8\xB9,400
27,\x00;\x01\x02\x00\x01\x00\x01\xFC\x03\x03\xC3/\xFF\x83\xD4o\x8EA\xA2\x91w\xEC\x94\xFDV\xF9\xBCm\xDDm\xF5\xD5\x04\x9D\x94\x9A\xA4\x8A\x05]\x0C\xEF,400
28,\x16\x03\x01\x00^\x01\x00\x00Z\x03\x01\x5CG\xF4,400
29,\x16\x03\x01\x00^\x01\x00\x00Z\x03\x01\x5CG\xF4,400
30,t3,400
31,,400
32,\x10\x7F\x91Q\xE3\x8E\x5C\xE7\xF4>\xB3&{o\xB9F/~P\xD3B?\x91\xA9\xD2\x86\xF7fB\xB4FE\xF9\xE4U\x1B`\x1F\x16\xB4),400
33,"\x04\xB7\x14(\x8D\x17\xC7fR\x95\xE9.R\xAF62\xBD7\x19\x89\xD3\x02\xA4\xFD\x9D^F\xD0\xD2P\xEFF\x89\xBE\xCA\xE6\xD2\x9E%,\x09\xE2\x02x\xB2\xFF\xFA\x92`\xBA\x16\x93\x80\x04\xC4D\xD4\xE1\x8Cz\xE0\x06\xC0",400
34,t3,400
35,E\x00\x003\xAA1@\x00@\x11\xA6N,400
36,\x17\x03\x03\x01\xBB\x00\x00\x00\x00\x00\x00\x00\x1F\x8A\x03\x9F,400
37,\x16\x03\x01\x00^\x01\x00\x00Z\x03\x01\x5CH\x9D\xB6>\xA93\x9C,400
38,\x16\x03\x01\x00^\x01\x00\x00Z\x03\x01\x5CH\x9D\xB6\xA6\xCDg\x80\xC8[=\xE6\xCA\xD8\x16\xAE\xA4P\xA3j\xB5\xDC\xE9Pl\xBD\xB6+\x96n\x8Du\x00\x00\x18\xC0\x14\xC0\x13\x005\x00/\xC0,400
39,G,400
40,x,400
41,\x15\x03\x01\x00\x02\x02P,400
42,\x15\x03\x01\x00\x02\x02P,400
43,\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03,400
44,\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03\x94\x12\xAD?%\xB8\x15!\x9B\xB7\xED*4SV\x18\xE1\xEF\xF3+\x9E\xE0\xF8\x13\x14\xA6e,400
45,\x05\x01\x00,400
46,\x04\x01\x00P\x05\xBC\xD2\x0C\x00,400
47,\x16\x03\x01\x00b\x01\x00\x00^\x03\x01\x5CJ\xE3*\x84Gv\xBD\xFA\xA8}\xA3\xB8\xB0\xA8\xDD\x080\x16\xBD(O\xB81r\xDDU\xA85,400
48,"\x16\x03\x01\x00b\x01\x00\x00^\x03\x01\x5CJ\xE3*H\x80o\x90\xBE\xB5\xF2\xB8j\xF6\xFEV\xE2A\xDB\xCD\x19\xBE\xB73\xDA\x81\xFC\xA7+,\xAD\xC5\x00\x00\x18\xC0\x14\xC0\x13\x005\x00/\xC0",400
49,\x03\x00\x00/*\xE0\x00\x00\x00\x00\x00Cookie:,400
50,\x17\x03\x03\x02f\x00\x00\x00\x00\x00\x00\x00\x0F\xC4\xBA\xFF\xBC\x05\xFC\xDD7*f*cS\x82\xA8\x10#'\xAA\xE1I>\xF6n\xA7^_\xD8r\x94'\xFFB\xDC\xE1\xAA\x10\x02\x10\xF3\xAAX\xB1T\x0Cm\xABH\xBA\xA5\x1Bb\x8E\xB6G\x22\x85f\x00%\x0F\xA9eZ\xAAi\xB2t\xF0\x14#\x8AH)3\xE2?^\xD6\x1FaL\x98\xE3\x93\xAB\xC3\x89\xBF,400
